Բարև ձեզ։	Hello!	sakayan unit1 chunk
Բարև, ի՞նչ է ձեր անունը։	Hello! What’s your name?	sakayan unit1 chunk
Անունս Արմեն է։	My name is Armen.	sakayan unit1 chunk
Իսկ ձեր ազգանո՞ւնը։	And your family name?	sakayan unit1 chunk
Ազգանունս Սարյան է։	My family name is Saryan.	sakayan unit1 chunk
Քանի՞ տարեկան եք։	How old are you?	sakayan unit1 chunk
Քսան տարեկան։	20 years old.	sakayan unit1 chunk
Ձեր քաղաքացիությո՞ւնը։	Your citizenship?	sakayan unit1 chunk
Հայաստանի քաղաքացի եմ։	I am a citizen of Armenia.	sakayan unit1 chunk
Ի՞նչ լեզուներ գիտեք։	What languages do you know?	sakayan unit1 chunk
Հայերեն և ռուսերեն։	Armenian and Russian.	sakayan unit1 chunk
Այդ [այտ] լեզուներով նաև գրում ու կարդո՞ւմ [կարթում] եք։	Do you also read and write in those languages?	sakayan unit1 chunk
Այո՜։	Yes!	sakayan unit1 chunk
Ո՞րն է Ձեր հասցեն։	What is your address?	sakayan unit1 chunk
Երևան, Պարոնյան փողոց տասը,։	10 Paronyan Street, Yerevan.	sakayan unit1 chunk
Ո՞րն է Ձեր հեռախոսի համարը։	What is your telephone number?	sakayan unit1 chunk
Չորս հարյուր, հիսունութ, տասներկու։	4-0-0, 5-8, 1-2.	sakayan unit1 chunk
Ինչո՞վ եք զբաղվում։	What is your occupation?	sakayan unit1 chunk
Ուսանող եմ։	I am a student.	sakayan unit1 chunk
Ի՞նչ եք ուսումնասիրում։	What are you studying?	sakayan unit1 chunk
Գրականություն։	Literature.	sakayan unit1 chunk
Անունդ [անունտ] ի՞նչ է։	What is your name?	sakayan unit1 chunk
Անունս Անի է։	My name is Ani.	sakayan unit1 chunk
Իսկ ազգանո՞ւնդ [ազգանունտ]։	And your family name?	sakayan unit1 chunk
Մալյան։	Malyan.	sakayan unit1 chunk
Քանի՞ տարեկան ես։	How old are you?	sakayan unit1 chunk
Հինգ տարեկան։	5 years old.	sakayan unit1 chunk
Ձեր հասցեն գիտե՞ս։	Do you know your (plur.) address?	sakayan unit1 chunk
Կոմիտաս փողոց, երեսուն։	30 Komitas Street.	sakayan unit1 chunk
Իսկ ձեր հեռախոսի համա՞րը։	And your (plur.) telephone number?	sakayan unit1 chunk
Քսանութ, հիսունմեկ, տասներկու։	2-8, 5-1, 1-2.	sakayan unit1 chunk
Բարև՜,	Hello, Mary!	sakayan unit2 chunk
Բարև՜, աշխատո՞ւմ ես։	Hello, Lilith! What are you doing here? Do you work (here)?	sakayan unit2 chunk
Ո՜չ, հայերեն եմ սովորում։	No, I’m studying Armenian.	sakayan unit2 chunk
Ա՛հ, գիտեմ, դու շատ հայ ընկերներ ունես։	Oh, I know, you have many Armenian friends.	sakayan unit2 chunk
Այո՜, և հայերենը շատ եմ սիրում։	Yes, and I like Armenian very much. . .	sakayan unit2 chunk
Բայց դու հայերեն գիտես, չէ՞։	But you know Armenian, don’t you? .	sakayan unit2 chunk
Հայկական այբուբենը դժվա՞ր է։	Is the Armenian alphabet difficult?	sakayan unit2 chunk
Երկար է, բայց բնավ դժվար չէ։	It’s long, but not difficult at all.	sakayan unit2 chunk
Իսկ հայերեն քերականությո՞ւնը։	And Armenian grammar?	sakayan unit2 chunk
Բոլոր տառերը կարո՞ղ ես գրել։	Can you write all the letters?	sakayan unit2 chunk
Ո՜չ, բոլորը դեռ չգիտեմ։	No, I don’t know them all yet.	sakayan unit2 chunk
Ամեն օր հայերենի դաս ունե՞ք։	Do you have Armenian classesevery day?	sakayan unit2 chunk
Ո՜չ, շաբաթը [շափաթը] երկու անգամ [անքամ]։	No, twice a week.	sakayan unit2 chunk
Ուզո՞ւմ ես քեզ քննեմ։	Do you want me to examine you?	sakayan unit2 chunk
Ինչո՞ւ չէ, սկսե՜նք։	Why not? Let’s start!	sakayan unit2 chunk
Սա ի՞նչ է։	What’s this?	sakayan unit2 chunk
Սա դասարան է։	This is a classroom.	sakayan unit2 chunk
Դասարանը փո՞քր է։	Is the classroom small?	sakayan unit2 chunk
Այստեղ ի՞նչ ես տեսնում։	What do you see here?	sakayan unit2 chunk
Մի սեղան, գրասեղաններ և աթոռներ։	A table, desks, and chairs.	sakayan unit2 chunk
Ի՞նչ կա սեղանի վրա։	What’s on the table?	sakayan unit2 chunk
Գրքեր ու տետրեր։	Books and notebooks.	sakayan unit2 chunk
Ուրիշ ի՞նչ կա։	What else is there?	sakayan unit2 chunk
Մատիտներ, գրիչներ և մի ռետին։	Pencils, 2 pens, and an eraser.	sakayan unit2 chunk
Այստեղ ո՞վ է նստում։	Who sits here?	sakayan unit2 chunk
Ուսուցիչը։	The teacher does.	sakayan unit2 chunk
Իսկ այնտե՞ղ։	And over there?	sakayan unit2 chunk
Այնտեղ ուսանողներն են նստում։	The students sit there.	sakayan unit2 chunk
Պատին ի՞նչ կա։	What’s on the wall?	sakayan unit2 chunk
Գրատախտակ ու նկարներ։	A blackboard and pictures.	sakayan unit2 chunk
Ուրի՞շ։	What else?	sakayan unit2 chunk
Մի ժամացույց։	A clock.	sakayan unit2 chunk
Ապրե՛ս, լավ աշակերտուհի ես։	Good for you! You are a good pupil (female).	sakayan unit2 chunk
Մի բան եմ խնդրելու՝ կարմիր մատիտ ունե՞ս։	I have something to ask you: Do you have a red pencil?	sakayan unit3 chunk
Իհարկե, մի րոպեով է ինձ պետք։	Of course, I just need it for a minute.	sakayan unit3 chunk
Պարոն Պալյան, սա ձե՞ր հաշվիչն է։	Mr. Palyan, is this your calculator?	sakayan unit3 chunk
Այո՜, ինչո՞ւ եք հարցնում։	Yes, why do you ask?	sakayan unit3 chunk
Մի րոպեով ինձ կտա՞ք։	May I have it for a moment?	sakayan unit3 chunk
Անշուշտ, համեցե՜ք։	Of course, here you are!	sakayan unit3 chunk
Այո՜, եթե կարելի է։	Yes, if it’s possible.	sakayan unit3 chunk
Սառույցո՞վ։	With ice?	sakayan unit3 chunk
Չարժե։	Don’t mention it.	sakayan unit3 chunk
Պաղպաղակ է։	It’s ice-cream!	sakayan unit3 chunk
Բարի ախորժա՜կ։	Bon appetit!	sakayan unit3 chunk
Խնդրեմ, հաց է՞լ ես ուզում։	Here you are! Would you like some	sakayan unit3 chunk
Մի քիչ էլ թան կլցնե՞ս։	Would you also pour me some tan?	sakayan unit3 chunk
Սիրով, խնդրեմ [խնթրեմ]։	Certainly, here you are!	sakayan unit3 chunk
Կենա՛ցդ [կենացտ]։	Cheers!	sakayan unit3 chunk
Ի՛նչ սիրունիկ երեխա է։	What a lovely baby!	sakayan unit4 chunk
Քրոջս [քրոչս] տղան է, վեց ամսական։	He is my nephew, 6 months old.	sakayan unit4 chunk
Իսկ ո՞վ է այս համակրելի կինը։	And who is this lovely woman?	sakayan unit4 chunk
Եղբորս [եղպորս] նշանածն է։	She is my brother’s fiancée.	sakayan unit4 chunk
Իսկ կողքինները ովքե՞ր են։	And who are those next to her?	sakayan unit4 chunk
Ծնողներիդ [ծնողներիտ] նկարը ունե՞ս։	Do you have a picture of your parents?	sakayan unit4 chunk
Ահա նրանք՝ նոր նշանված։	Here they are, newly engaged.	sakayan unit4 chunk
Դու մորդ [մորտ] նման ես։	You look like your mother.	sakayan unit4 chunk
Ինչքա՛ն երիտասարդ [երիտասարթ] են։	How young they are!	sakayan unit4 chunk
Կարծեմ նոր տեսա նրան այգում։	I think I just saw her in the garden.	sakayan unit4 chunk
Այո՜, ինքն է, արի՜ ծանոթացնեմ։	Yes, it’s her; let me introduce you.	sakayan unit4 chunk
Ո՜չ, աշխատակիցը։	No, his colleague.	sakayan unit4 chunk
Չեմ կարծում, որ իրար ծանոթ ենք։	I don’t think we have met.	sakayan unit4 chunk
Նմանապես։	Likewise.	sakayan unit4 chunk
Արա՜մ, արի՜ մյուսներին էլ քեզ ծանոթացնեմ։	Aram, let me introduce you to the others as well.	sakayan unit4 chunk
Սիրո՛վ, գնանք։	Gladly, let’s go!	sakayan unit4 chunk
Հավանո՞ւմ ես նոր բնակարանս։	Do you like my new apartment?	sakayan unit5 chunk
Վատ չէ։	It’s not bad.	sakayan unit5 chunk
Ի՞նչ է, դուրդ [դուրտ] չեկա՞վ։	What’s wrong, you don’t like it?	sakayan unit5 chunk
Ո՞ւր այսպես, զուգված-զարդարված։	Where are you going, all dressed up?	sakayan unit5 chunk
