Speaker	Armenian	English	Tags
A	Բարև ձեզ։	Hello!	sakayan unit1 dialogue1
B	Բարև, ի՞նչ է ձեր անունը։	Hello! What’s your name?	sakayan unit1 dialogue1
A	Անունս Արմեն է։	My name is Armen.	sakayan unit1 dialogue1
B	Իսկ ձեր ազգանո՞ւնը։	And your family name?	sakayan unit1 dialogue1
A	Ազգանունս Սարյան է։	My family name is Saryan.	sakayan unit1 dialogue1
B	Քանի՞ տարեկան եք։	How old are you?	sakayan unit1 dialogue1
A	Քսան տարեկան։	20 years old.	sakayan unit1 dialogue1
B	Ձեր քաղաքացիությո՞ւնը։	Your citizenship?	sakayan unit1 dialogue1
A	Հայաստանի քաղաքացի եմ։	I am a citizen of Armenia.	sakayan unit1 dialogue1
B	Ի՞նչ լեզուներ գիտեք։	What languages do you know?	sakayan unit1 dialogue1
A	Հայերեն և ռուսերեն։	Armenian and Russian.	sakayan unit1 dialogue1
B	Այդ [այտ] լեզուներով նաև գրում ու կարդո՞ւմ [կարթում] եք։	Do you also read and write in those languages?	sakayan unit1 dialogue1
A	Այո՜։	Yes!	sakayan unit1 dialogue1
B	Ո՞րն է Ձեր հասցեն։	What is your address?	sakayan unit1 dialogue1
A	Երևան, Պարոնյան փողոց տասը,։	10 Paronyan Street, Yerevan.	sakayan unit1 dialogue1
B	Ո՞րն է Ձեր հեռախոսի համարը։	What is your telephone number?	sakayan unit1 dialogue1
A	Չորս հարյուր, հիսունութ, տասներկու։	4-0-0, 5-8, 1-2.	sakayan unit1 dialogue1
B	Ինչո՞վ եք զբաղվում։	What is your occupation?	sakayan unit1 dialogue1
A	Ուսանող եմ։	I am a student.	sakayan unit1 dialogue1
B	Ի՞նչ եք ուսումնասիրում։	What are you studying?	sakayan unit1 dialogue1
A	Գրականություն։	Literature.	sakayan unit1 dialogue1
B	Շնորհակալ եմ։ Ազատ եք։	Thank you. You are free to go.	sakayan unit1 dialogue1
A	Շնորհակալություն։ Ցտեսություն։	Thanks. Good bye.	sakayan unit1 dialogue1
