լինել	to be	быть	frequency top-1000
որ	that, which, who	что, который	frequency top-1000
ու	and	и	frequency top-1000
մի	one, a; don't!	один, а; не (запрет)	frequency top-1000
կարդալ	to read	читать	frequency top-1000
ունենալ	to have	иметь	frequency top-1000
ինչ	what	что	frequency top-1000
գրել	to write	писать	frequency top-1000
այլ	other	другой	frequency top-1000
նա	he, she	он, она	frequency top-1000
ինչպես	how, as	как	frequency top-1000
այս	this	этот	frequency top-1000
լեզու	language	язык	frequency top-1000
գալ	to come	приходить	frequency top-1000
չէ	no, isn't (it?)	нет, не так ли	frequency top-1000
շատ	very, much, many	очень, много	frequency top-1000
էլ	too, also	тоже, также	frequency top-1000
ոչ	no, not	нет, не	frequency top-1000
իր	his/her own (reflexive); thing, item	его/её (свой); вещь	frequency top-1000
խոսակցական	colloquial	разговорный	frequency top-1000
այն	that	тот	frequency top-1000
մեջ	in, inside (տան մեջ — in the house); among	в, внутри; среди	frequency top-1000
տալ	to give	давать	frequency top-1000
կամ	or	или	frequency top-1000
թե	that; whether; or	что; ли; или	frequency top-1000
այդ	that	этот, тот	frequency top-1000
հայերեն	Armenian	армянский	frequency top-1000
իսկ	but, and (contrast)	а, же	frequency top-1000
խոսք	word; speech, talk	слово; речь	frequency top-1000
նաև	also	также	frequency top-1000
համար	for (ինձ համար — for me); number	для (послелог); номер	frequency top-1000
պետք	needed, required	нужный, необходимый	frequency top-1000
դու	you (sg)	ты	frequency top-1000
երբ	when	когда	frequency top-1000
նրա	his, her	его, её	frequency top-1000
բայց	but	но	frequency top-1000
երևան	Yerevan	Ереван	frequency top-1000
հետ	with (ընկերոջ հետ — with a friend); back (noun)	с; назад	frequency top-1000
ասել	to say	сказать, говорить	frequency top-1000
մեկ	1		frequency top-1000
անել	to do	делать	frequency top-1000
քանի	how many?	сколько?	frequency top-1000
կարող	able, can; capable	способный, может	frequency top-1000
ավելի	more, beyond	больше, более	frequency top-1000
բոլոր	all, every	все	frequency top-1000
մեծ	big	большой	frequency top-1000
նրանք	they	они	frequency top-1000
