headword	homograph	pos	domain	definition	coinages	ru	en	multi_sense	class_note
Աբստրակցիոնիզմ		գ.			Վերացապաշտություն	абстракционизм	abstractionism		clean-baseline
Գենոցիդ		գ.		Ազգային, ցեղային, կրոնական և այլ հատկանիշներով պայմանավորված սպանություն	Ցեղասպանություն	геноцид	genocide		clean-with-def
Ակումուլյատոր		գ.	տեխն.		Կուտակիչ|Ուժահավաք	аккумулятор	battery, accumulator		multiple-english
Ավտոմատ	1			Ինքնիրեն աշխատող	Ինքնեկ	автомат	automatic		homograph-1
Ավտոմատ	2	գ.		Զենքի տեսակ	Ինքնաձիգ|Արագահարված	автомат	machine gun		homograph-2
Ուիք-էնդ		գ.		Շաբաթվա վերջին, հանգստյան օրերը, շաբաթ և կիրակի	Շաբաթավերջ	уик-энд	weekend		hyphenated-headword
Աուդիո–վիդեո		ած.		Լսելու և դիտելու	Լսատեսողական	аудио-видео	audio-video		endash-in-headword
Գենետիկ(ական)		ած.			Ծինական	генетический	genetic		colon-coinage-rescue
Հիպոֆիզ		գ.	կենս.	Գլխուղեղում գտնվող գեղձ, որ կարգավորում է մարմնի աճը	Մաղասագեղձ	гипофиз	pituitary, body hypophisys		domain-first
Բյուջե		գ.		1. Հասույթներն ու ծախքերը ցույց տվող հաշիվ, 2. Մուտքի և ելքի 3. Մուտքի և ելքի	Հաշվեցույց|Նախահաշիվ|Ելևմտացույց	бюджет	budget	1	multi-sense-bold
Սենատոր				1. ած. Ծերակույտին վերաբերող: 2. գ. Ծերակույտի անդամ	Ծերակուտական	сенатор	senator	1	multi-sense-in-definition
Անտեննա		գ.			Ալեհավաք|Ալեցիր	передающая антенна	antenna	1	interleaved-field
Մոնոլիտ				Քարի մեկ միասնական զանգվածից պատրաստված կառույց	Մենաքար	монолит	monolith		genuine-no-pos
Էֆտանազիա		գ.			Բարեսպանություն	эфтаназия			genuine-no-english
Կենգուրու		գ.			Ագեվազ	кенгуру	kangaroo		hyphen-minus-separator
Տեխնիկ		գ.			Արհեստագետ	техник	technician		no-space-after-dash
էլեկտրաթերապիա		ած. գ.		Էլեկտրականությամբ բուժող	Էլեկտրաբույժ	электротерапия	electrotherapy		lowercase-initial-headword
Ակցիոներ		գ.	տնտես.		Մասնակից|Շահընկեր|Արժեթղթերի սեփականատեր|Բաժնետեր|Բաժնեկից	акционер	shareholder		all-bold-no-definition
Ֆուրգոն		գ.		Բեռնատար ավտոմեքենա	Բեռնակառք	фургон	van		regular-def-bold-coinage
Կոմիկ		գ.		1.Կատակերգակ դերասան: 2. Կատակերգություն գրող	Կատակերգու|Ծաղրերգու	комик	comedian	1	bold-coinages-after-def
Հիերարխիա		գ.		Աստիճանակարգում վերից վար (զինվորական, հոգևորական և այլն) եկեղեցական	Կարգապետություն|Նվիրապետություն	иерархия	hierarchy		bold-coinage-not-buried
Աորտա		գ.	կզմխս.	Սրտից դուրս եկող մայր երակ	Բներակ|Սրտափող	аорта	aorta		two-bold-coinages
Ֆեոդալ		գ.		Ինքնիշխան	Հողատեր|Ավատապետ	феодал	feudal lord		def-before-bold-coinage
Կուլտուրա		գ.			Մշակույթ	культура	culture		unbolded-single-coinage
Կապիտալիստ		գ.			Դրամատեր	капиталист	capitalist		unbolded-single-coinage-2
