verdict	coinage	rank	freq	loanword	en	coinage_means	frequency_belongs_to	confidence	note
valid	տնօրեն	673	17	Դիրեկտոր	Director	director (директор)	տնօրեն 'director' — the same word	high	Corpus shows տնօրեն/տնօրենի/տնօրենին in exactly the 'director/head of an institution' sense (գրասենյակի տնօրեն, տնօրենին տեսա՞ր). Accepted standard native term for директор; no homograph, no russified-loanword collision (loanword would be դիրեկտոր).
valid	մշակույթ	698	17	Կուլտուրա	culture	culture (культура)	մշակույթ 'culture' — the same word	high	Corpus usage is consistently 'culture' (մշակույթի տարբեր բնագավառ, մշակույթը հաղորդում, մշակույթային). Established native term for культура, not a homograph; loanword form կուլտուրա differs in surface.
valid	ղեկավար	1480	8	Էքսկուրսավար;Լիդեր	guide;leader	leader / head (лидер); also offered for экскурсовод 'guide'	ղեկավար 'leader/head/director' — the same word	high	Corpus shows ղեկավար 'leader/head' and ղեկավարություն 'leadership' (ղեկավար է լինելու, ղեկավարությամբ, ղեկավար Արմեն Գաբրիելյան) — genuinely the 'leader' sense matching лидер. Record pairs it with two loanwords; freq reflects 'leader' well, the 'guide/экскурсовод' sense is the weaker pairing but still the same native word. No homograph.
valid	գրասենյակ	1484	8	Բյուրո	office	office / bureau (бюро)	գրասենյակ 'office' — the same word	high	Corpus usage is literal 'office' (գրասենյակ գնամ, գրասենյակի տնօրեն, գրասենյակային ոճ). Accepted native term for бюро/office; no homograph, loanword բյուրո differs in surface.
valid	ցեղասպանություն	1592	8	Գենոցիդ	genocide	genocide (геноцид)	ցեղասպանություն 'genocide' — the same word	high	Long unambiguous compound with no homograph possible. Corpus usage (ցեղասպանություն են կոչվում) is exactly 'genocide'. Standard native term for геноцид; freq=8 (sakayan only) genuinely reflects this word.
valid	համակարգիչ	1677	7	Կոմպյուտեր	computer	computer (компьютер)	համակարգիչ 'computer' — the same word	high	Unambiguous; all corpus hits are bare համակարգիչ 'computer'. This native coinage is the dominant standard word for компьютер; the russified loanword կոմպյուտեր has a different surface, so no failure-mode (b) contamination. Valid.
valid	ճարտարագետ	1905	6	Ինժեներ	engineer	engineer	ճարտարագետ — engineer	high	All 5-6 corpus hits mean 'engineer'; literally appears alongside the loanword in a synonym list 'ինժեներ, ճարտարագետ' (sakayan) and 'ճարտարագետներ ու ինժեներներ' (ghamoyan). The native coinage in the intended meaning is genuinely attested at this frequency.
valid	զբոսաշրջիկ	2230	5	Տուրիստ	tourist	tourist	զբոսաշրջիկ — tourist	high	All sakayan hits mean 'tourist' (զբոսաշրջիկներ visiting Armenia). Unambiguous native word; matches loanword Տուրիստ/турист. Frequency genuinely reflects the coinage.
valid	լրագրող	2247	5	Ժուռնալիստ	journalist	journalist/reporter	լրագրող — journalist	high	Hits in both sakayan and ghamoyan mean 'journalist/reporter' (the standard native term). No homography; matches loanword Ժուռնալիստ/журналист.
valid	առաջնորդ	2329	5	Էքսկուրսավար;Լիդեր	guide;leader	leader/head (also guide)	առաջնորդ — leader/head	medium	Frequent base lemma (freq 5) means 'leader/head' (church primate, 'Ո՞վ է նրա առաջնորդը'), matching loanword Լիդեր/лидер. The other loanword sense Էքսկուրսավար/экскурсовод 'tour guide' is not attested in corpus, and several listed rows are inflected forms (առաջնորդեց 'led', առաջնորդություն). The base-lemma 'leader' sense is real and well attested, so valid for the лидер sense; the 'guide' sense is weaker.
valid	համացանց	3032	4	Ինտերնետ	internet	internet/web (network)	համացանց — internet/network	high	Hits mean 'internet/network' — listed alongside ամսագիր, նամակ, հոդված (magazine, letter, article) and used as 'համադպրոցական համացանց' (inter-school network). Native coinage in the intended Ինտերնետ/Интернет sense; no homograph.
valid	կայքէջ	3039	4	Սայթ	site	webpage/website (native compound քայ+էջ 'page')	կայքէջ 'website' — the coinage itself	high	Corpus (sakayan, ghamoyan) uses it in its actual 'website' sense: '–Իսկ ի՞նչ է նշանակում կայքէջ։'. No homograph; this is an established native word for site/сайт. freq=4 genuinely reflects this word.
valid	վիճակագրություն	3395	4	Ստատիստիկա	statistics	statistics (native term for Ստատիստիկա/статистика)	վիճակագրություն 'statistics' — the same word/sense	high	ghamoyan uses it (and վիճակագրական) repeatedly in the genuine 'statistics' sense: 'մաթեմատիկական վիճակագրության մեթոդները', 'Հայաստանի վիճակագրական տարեգիրք'. This is the standard, fully-established Armenian word for statistics; freq genuinely reflects this meaning.
valid	ազատքեղ	3582	3	Մաղադանոս	parsley	parsley (native term for Մաղադանոս/петрушка)	ազատքեղ 'parsley' — same word	high	sakayan lists it directly alongside the loanword: 'մաղադանոս, ազատքեղ'. Native Armenian word for parsley; no homograph. Low freq (3) but genuine.
valid	լոլիկ	3584	3	Պոմիդոր	tomato	tomato (native term for Պոմիդոր/помидор)	լոլիկ 'tomato' — same word	high	Standard everyday Armenian word for tomato, attested in sakayan. No homograph; freq genuinely reflects 'tomato'.
valid	հյուրանոց	3591	3	Մոթել	motel	hotel/inn; proposed for Մոթել/мотель ('motel')	հյուրանոց 'hotel/inn' — same word, slightly broader than 'motel'	high	Established native word meaning hotel/inn, attested multiple times in sakayan (pp84,274,501). Minor semantic breadth gap (hotel vs the narrower 'motel'), but same domain and same lemma; freq genuinely reflects the accommodation sense. Treated as valid.
valid	ագարակ	3826	3	Ֆերմա	farm	farm/estate (native term for Ֆերմա/ферма)	ագարակ 'farm/estate' — same word	high	Native Armenian word for farm/agricultural estate, attested repeatedly in sakayan (also derivative ագարակապան). No homograph; freq genuinely reflects 'farm'.
valid	դաշնություն	3852	3	Ֆեդերացիա	federation	federation (native term for Ֆեդերացիա/федерация)	դաշնություն 'federation' — same word, used in 'Ռուսաստանի Դաշնություն'	high	query_kb surfaces 'Ռուսաստանի Դաշնություն' (Russian Federation) in sakayan pp290,371 — the genuine political 'federation' sense (initial plain grep missed it due to capital Դ). Note a secondary native sense 'concord/alliance' also exists (p441 'դաշնության ու անդորրության'), but the freq does include real federation usage. Same lemma, target sense attested → valid.
valid	մտավորական	4008	3	Ինտելիգենտ	intellectual	intellectual (person); native term for Ինտելիգենտ/интеллигент	մտավորական 'intellectual' — same word	high	Established native word for an intellectual, attested in sakayan in exactly that sense: 'թուրք մտավորականների շրջանում', 'մտավորականներ էին հանձն առնում'. No homograph; freq genuinely reflects 'intellectual'.
valid	դաշինք	4129	3	Պակտ	pact	pact / alliance / treaty	դաշինք — the native word 'pact/alliance/treaty'	high	freq=3 (sakayan), clean lemma. Corpus: 'դաշինքը խախտվեց' (the pact was broken), standalone 'դաշինք' x2 (sakayan p403/p487/p533). This IS the native word for pact/alliance/treaty, exactly the intended loanword (пакт/pact) sense. Real common synonym, no homograph.
valid	տակառ	4452	3	Բարել	barrel	barrel / cask	տակառ — the native word 'barrel/cask'	high	freq=3 (ghamoyan+sakayan; tioyan adds տակառագործ 'cooper'). Corpus: ghamoyan p53 'տակառ, գարեջուր' (barrel, beer), standalone տակառ x2, tioyan 'տակառագործ бондарь' (cooper). This is the native 'barrel/cask' — exactly the intended баррель/barrel. Note: physical barrel vs. oil-unit 'barrel' but it is the genuine common word, no homograph.
valid	գեղագիտական	4611	3	Էսթետիկական	aesthetic	aesthetic	գեղագիտական — the native adjective 'aesthetic'	high	freq=3 (ghamoyan). Corpus: 'առավել ևս գեղագիտական նկատառումներով', 'հասարակության գեղագիտական մակարդակը', 'գեղագիտական գործառույթը' (ghamoyan p49/p94). Unambiguously the native adjective 'aesthetic', matching эстетический/aesthetic. No homograph, real common usage.
valid	շնորհանդես	5182	2	Պրեզենտացիա	presentation	presentation / launch event	շնորհանդես — the native word 'presentation'	high	freq=2 (sakayan p301, ghamoyan p112), both standalone 'շնորհանդես'. This is the established native word for 'presentation / book or product launch', exactly the intended презентация/presentation. Long, distinctive surface form → no plausible homograph. Valid.
