block_id	kind	pages	y0	y1	text
0001	heading	35	51	63	ԳԼՈՒԽ 2
0002	heading	35	66	93	ԵՐԵՎԱՆԻ ԽՈՍԱԿՑԱԿԱՆ ԼԵԶՎԻ ՀՆՉՅՈՒՆԱԿԱՆ ՀԱՏԿԱՆԻՇՆԵՐԸ
0003	para	35	109	140	Մեր լեզուն ներկայումս գտնվում է գրականի և առօրյա խոսակցականի հակասությունների բարդ գործընթացում: Իրողությունն այն է, որ դրանց միջև այժմ հսկայական անջրպետ կա:
0004	para	35	140	193	Հարցազրույց-հարցաթերթիկների և անկաշկանդ խոսքի ձայնագրությունների միջոցով ուսումնասիրվել և գրանցվել են բանավոր խոսքում հաճախակի հանդիպող բազմաթիվ շեղումներ ու խախտումներ, որոնք առկա են և՛ հնչյունական, և՛ բառագիտական, և՛ քերականական բոլոր մակարդակներում:
0005	para	35	193	245	Երևանի խոսակցական լեզվի ուսումնասիրության մեջ ամենից առաջ մեր ուշադրությունն են գրավել հաճախակի հանդիպող հնչյունական այնպիսի երևույթներ, որոնք շեղվում են ուղղախոսական նորմից (ավելորդ հնչյունների գործածություն, անհրաժեշտ հնչյունների անկում, ոչ ճիշտ հնչյունափոխություններ և այլն):
0006	para	35	245	338	Այսպես՝ խոսակիցների անկաշկանդ շփման ժամանակ, երբ խոսքը չի վերահսկվում, ավելի շատ են հնչյունական սխալները. որոշ հնչյուններ փոխում են իրենց որակը, թուլանում են կամ բոլորովին սղվում, նույնիսկ կարող են չհնչվել ամբողջական վանկեր, սակայն այս երևույթը չի խաթարում բանավոր խոսքի ընկալումը, քանի որ անմիջական հաղորդակցության ժամանակ խոսակիցներին արդեն հայտնի է իրադրությունը և խոսակցության նյութը, հետևաբար կիսատ ու անհստակ, ոչ ամբողջությամբ արտասանված բառը լիովին հասկացվում է. խոսողներն իրար հասկանում են նաև շարժումներով, դիմախաղով ու հնչերանգով:
0007	para	35	338	400	Ձայնավորների սղումը կամ անկումը հայերենում մեծ մասամբ արդյունք է կից վանկերի նույնական ձայնավորների կամ նույնական վանկերից մեկի ամփոփման, որն էլ արտահայտվում է դրանց անկումով: Բերենք ձայնավորների անկման մի շարք օրինակներ, որոնք, սակայն, նույն արժեքը չունեն. դրանց մի մասը տարածված երևույթ է, իսկ մյուսը՝ ոչ, թեև հատուկ է խոսակցական լեզվին:
0008	para	35	400	483	Կան մեծ հաճախականություն ունեցող բառեր, որոնց մեջ տեղի է ունենում ու ձայնավորի լիակատար սղում՝ անկում, օրինակ՝ ցտեսություն-ը մեծ մասամբ հնչվում է ցըտեսցյուն//ստեսցյուն, շնորհակալությունը՝ շնորակալցյուն, գործունեությունը՝ գործնեություն, այդպես նաև՝ ուսցիչ (ուսուցիչ), ուսչական (ուսուցչական), խօսակցյուն (խոսակցություն) և այլն: Ինչպես նկատեցինք, երբեմն խոսքի արագ տեմպում հանդիպում են այնպիսի սղումներ, երբ ձայնավորի հետ միասին սղվում են նաև այլ հնչյուններ:
0009	para	35	483	504	Առօրյա խոսքում ու ձայնավորը երբեմն հնչյունափոխվում է ա-ի, ինչպես՝ դիմացկանություն (փոխ.՝ դիմացկունություն):
0010	para	35	504	525	Ի ձայնավորը կարող է վերածվել ը-ի պիտի, հիմի, ինչի և այլ բառերում, ինչպես՝ պ{ը}տի, հ{ը}մի, {ը}նչի և այլն:
0011	para	36	50	80	Ի ձայնավորի անկման դեպքերից են՝ բար լուս, երբեմն նույնիսկ՝ բայ լուս (բարի լույս), չեմ մանում (չեմ իմանում), օրգինալ (օրիգինալ), լզել (լիզել) և այլն:
0012	para	36	81	103	Սրան հակառակ՝ ավելորդ ի-ով են արտաբերվում լինելություն, պատկանելություն բառերը, ինչպես՝ լինելիություն, պատկանելիություն:
0013	para	36	103	144	Բավական տարածված է որոշ բառեր առանց ա ձայնավորի գործածելը, ինչպես՝ բարյացկամ (բարյացակամ), գնհատել, գնհատական (գնահատել, գնահատական), գողնալ (գողանալ), դաստիրակ (դաստիարակ), սննկանալ (սնանկանալ) և այլն:
0014	para	36	144	185	Ա ձայնավորի ավելորդ գործածություն ենք նկատում ըստ արժանավույն բառում (փոխ.՝ ըստ արժանվույն), ինչպես նաև յոթանասունի համաբանությամբ սխալ տարածված ութանասուն ձևում (փոխ.՝ ութսուն) և այլն:
0015	para	36	186	206	Երբեմն ա ձայնավորը հնչյունափոխվում է ո-ի, որը ընդունելի չէ, սխալ է, ինչպես՝ մոտովորապես (փոխ.՝ մոտավորապես):
0016	para	36	207	227	Ո ձայնավորի անկման դեպքերից են՝ կաննավոր (կանոնավոր), կաթղիկոս (կաթողիկոս):
0017	para	36	227	269	Ռուսերենի -որ վերջավորություն ունեցող բոլոր գոյականները հայերենի խոսակցական տարբերակում սովորաբար արտասանվում են -ըր, ինչպես՝ դիրեկտոր-դիրեկտ{ը}ր, Վիկտոր-Վիկտ{ը}ր, ռեկտոր- ռեկտ{ը}ր, պրոֆեսոր-պրոֆես{ը}ր և այլն:
0018	para	36	269	299	Ե ձայնավորի ավելորդ գործածություն ենք տեսնում տարեկետում բառում (փոխ.՝ տարկետում. այն տարի բառի հետ կապ չունի, բառացի նշանակում է «նշանակված ժամանակից դուրս՝ տար»):
0019	para	36	300	320	Երբեմն ե ձայնավորի հնչյունափոխված սխալ ձևերի ենք հանդիպում, ինչպես՝ ներեղություն (փոխ.՝ ներողություն):
0020	para	36	320	436	Ը ձայնավորի ոչ շեշտակիր լինելը հաճախ վերջինիս անկման, տեղափոխության, ինչպես նաև հավելման պատճառ է դառնում, ինչպես՝ գ{ը}տ{ը}նվել (փոխ.՝ գ{ը}տն{ը}վել), երդ{ը}վել (փոխ.՝ երդվել), թաք{ը}նվել (փոխ.՝ թաքն{ը}վել), ժ{ը}պ{ը}տալ (փոխ.՝ ժ{ը}պտալ), կ{ը}րկ{ը}նել (փոխ.՝ կ{ը}րկնել), հայտ{ը}նվել (փոխ.՝ հայտն{ը}վել), հագ{ը}նվել (փոխ.՝ հագն{ը}վել), ձեռն{ը}պահ (փոխ.՝ ձեռ{ը}նպահ), ձեռն{ը}տու (փոխ.՝ ձեռ{ը}նտու), ք{ը}ն{ը}նել (փոխ.՝ ք{ը}ննել) և այլն: Ը ձայնավորի հավելումներ կարող ենք հանդիպել նաև բառավերջում, ինչպես՝ վեց{ը} հոգով, ութ{ը} տարեկան և այլն, բայց երբ հարկավոր է ասել տասը (տասը տարեկան, տասը հազար, տասը մարդ և այլն), արտասանում են տաս՝ ը ձայնավորի անկումով:
0021	para	36	436	500	Արտասանական ոլորտում ակնհայտ է երկհնչյունների վերածումը պարզ ձայնավորների (հատկապես՝ այ-է անցումը և՛ բառասկզբում, և՛ բառամիջում): Այստեղից էլ այս, այդ, այն ցուցական դերանունների և նրանցից կազմված բաղադրյալ ձևերի խոսակցական տարբերակները՝ էս, էդ, էն, էսպես, էդպես, էնպես, էնքան, էստեղ և այլն, ինչպես նաև՝ հեր, մեր, քուր, լիս//լուս, գեղ, գեղացի և այլն:
0022	para	36-37	500	70	Գրական լեզվի խոսակցական տարբերակում բաղաձայնների անկումը կամ թուլացումը ավելի քիչ է հանդիպում, քան ձայնավորների անկումը, քանի որ բառի հնչյունական պատկերի հիմնական ծանրությունը ընկնում է բաղաձայնների վրա:
0023	para	37	70	166	Խոսակցական լեզվում բաղաձայների անկումը մի շարք դեպքերում պայմանավորված է բառի մեջ հանդիպող բաղաձայնների բնույթով: Երբ իրար են հաջորդում արտասանության նույն տեղն ունեցող կամ արտասանության տեղով մոտ հնչյուններ, ապա հնչումը խիստ դժվարանում է, և անկաշկանդ, ազատ խոսքում այդ խմբի հնչյուններից նախորդողը կա՛մ շատ թույլ է արտասանվում, որ հազիվ լսելի է, կա՛մ բոլորովին ընկնում է, ինչպես՝ պաճառ, անպաճառ, պաճեն, մաչելի, Մկրչյան բառերն արտասանվում են առանց տ-ի: Այս երևույթը կարելի է բացատրել նաև խոսքի արագ տեմպով, ինչպես՝ շաշատ (շատ-շատ) բառի արտասանությունը:
0024	para	37	166	199	Այդպես նաև խոսքի արագ ընթացքի ժամանակ երբեմն սղվում է ժ բաղաձայնը, ինչպես՝ երաշտական (փոխ.՝ երաժշտական), բշկական (փոխ.՝ բժշկական) և այլն:
0025	para	37	199	220	Խոսակցական լեզվում դ բաղաձայնի հավելում է նկատվում մի շարք բառերում, ինչպես՝ սանդր, մանդր, ծանդր:
0026	para	37	220	251	Ր-ի անկումը մի շարք դեպքերում ունի ժողովրդախոսակցական բնույթ, ինչպես՝ դուս արի (դուրս արի), աղչըկեք (աղջկերք), տղեք (տղերք), յեփ օր (երբ որ) և այլն:
0027	para	37	251	305	Ր բաղաձայնի անկում շատ է լինում երկրորդ թվականի արտասանության ժամանակ, ինչպես՝ եկրորդ, ինչպես նաև հրամայական եղանակի եզակի թվի բայերը գրեթե բոլորն արտասանում են առանց ր-ի, ինչպես՝ գրի՛ր-գրի՛, խոսի՛ր-խոսի՛, այդպես նաև՝ նստի՛, կանգնի՛, մաքրի՛ և այլն:
0028	para	37	306	378	Ր-ն երբեմն ռ է հնչվում, որն ընդունելի չէ, ինչպես՝ մա{ռ}տ, ա{ռ}ծիվ, մրմուռ-մ{ռ}մուռ, մրցել-մ{ռ}ցել, հարբել-հա{ռ}բել, վերնագիր-վե(ռ}նագիր, Ա{ռ}մեն, Ա{ռ}ման: Սա ոչ միայն ռուսախոսների շրջանակում է տարածված, այլև հայկական կրթություն ունեցողների, նույնիսկ հայերենի մասնագետների: Փոխառյալ բառերում նույնպես շատ հաճախ ռ է հնչվում, ինչպես՝ օպե{ռ}ա, դ{ռ}ամա, սպո{ռ}տ, էնե{ռ}գիա և այլն: Խոսակցական լեզվում երբեմն ռ-ն է հնչվում ր, ինչպես՝ պառկել-պա{ր}կել:
0029	para	37	378	419	Երևանի լեզվին հատուկ է նաև ղ բաղաձայնի անկումը, ինչպես՝ էս կոմ (կողմ) արի, էն կոմով (կողմով) բեր, թո (թող) նստի, ըստե (էստեղ//այստեղ), մի տե (տեղ) պահի, ըտե (էդտեղ//այդտեղ), ընդե (էնտեղ//այնտեղ) և այլն:
0030	para	37	419	493	Բաղաձայնների անկման երևույթներ կարող են երևան գալ բառավերջում, ինչպես՝ լ և ս բաղաձայնների անկումը՝ չեմ գալի (չեմ գալիս), չես բերե (չես բերել), չի տվե (չի տվել), չի ասե (չի ասել), չի տալի (չի տալիս), որտի՞ց ես ճարե (որտեղի՞ց ես ճարել), բան ա՞ պատահե (պատահել) և այլն: Այս երևույթը գրական նորմի տեսանկյունից ընդունելի չէ և հատուկ է միայն ժողովրդախոսակցական լեզվին: Լ բաղաձայնի անկումով է արտասանվում փայփլել (փայլփլել) բառը:
0031	para	37	493	524	Ս բաղաձայնի հավելումով է արտասանվում երկուս բառը. պետք է հիշել, որ ոչ թե երկուս, այլ երկու (ս-ով ձևը գործածվում է, երբ թվին մասնիկ կամ բառ է ավելանում, ինչպես՝ երկուսով, երկուսուկես և այլն):
0032	para	38	50	70	Ս բաղաձայնը հիսուն բառում վաթսուն {վացուն}-ի համաբանությամբ արտասանվում է ց {հիցուն}:
0033	para	38	70	101	Նկատելի է բառավերջի ս-ի ձայնեղացում՝ հատկապես փոխառյալ բառերում, ինչպես՝ ֆոկուս-ֆոկու{զ}, սոուս-սոու{զ}, Թիֆլիս-Թիֆլի{զ}, գլոբուս-գլոբու{զ}, ավտոբուս-ավտոբու{զ} և այլն:
0034	para	38	101	143	Ն բաղաձայնի անկումով են արտասանում հետևյալ բառերը՝ առաջի, վերջի, ինչպես՝ «Առաջի (առաջին) անգամ եմ տեսնում ըսենց բան», «Վերջի (վերջին) անգամ իրենց տանն եմ տեսել», կամ համատարած սխալ է պատճե բառը (փոխ.՝ պատճեն) և այլն:
0035	para	38	143	195	Բայց ահա որոշ բառեր էլ արտասանվում են ն բաղաձայնի հավելումով, ինչը ընդունելի չէ, ինչպես՝ ավելնորդ (ավելորդ), կանանչ (կանաչ), կանանցի (կանացի), մանրունք (մանրուք), ճանանչել (ճանաչել), ամանչել (ամաչել), անձեռնոցիկ (անձեռոցիկ), արտասունք (արտասուք), մանրունք (մանրուք), ընձեռնել (ընձեռել), մարմանջ (մարմաջ) և այլն:
