հա	yeah, yes (colloquial) / да, ага	frequency core-vocabulary
մեզ	us, to us / нас, нам	frequency core-vocabulary
մոտ	near, close to / рядом, около	frequency core-vocabulary
ամեն	every, each / каждый, всякий	frequency core-vocabulary
գիշեր	night / ночь	frequency core-vocabulary
կյանք	life / жизнь	frequency core-vocabulary
սեր	love (noun) / любовь	frequency core-vocabulary
գործ	work, business, matter / дело, работа	frequency core-vocabulary
հենց	exactly, precisely, just / именно, как раз	frequency core-vocabulary
ողջ	alive, whole, all / живой, целый	frequency core-vocabulary
ապա	then, after that / потом, затем	frequency core-vocabulary
մահ	death / смерть	frequency core-vocabulary
պահ	moment, instant / момент, миг	frequency core-vocabulary
պարտք	debt, duty / долг	frequency core-vocabulary
ժամանակ	time, period / время	frequency core-vocabulary
տեր	lord, owner; Mr. / господин, владелец	frequency core-vocabulary
որքան	how much, as much as / сколько, насколько	frequency core-vocabulary
քանի	how many; since, while / сколько; так как	frequency core-vocabulary
