block_id	tok	surface	lemma	rank	known
0001	0	ԳԼՈՒԽ	գլուխ	154	y
0002	0	ԵՐԵՎԱՆԻ	երեվան	498	
0002	1	ԽՈՍԱԿՑԱԿԱՆ	խոսակցական	21	y
0002	2	ԼԵԶՎԻ	լեզվ	13	
0002	3	ՀՆՉՅՈՒՆԱԿԱՆ	հնչյունական	932	y
0002	4	ՀԱՏԿԱՆԻՇՆԵՐԸ	հատկանիշներ		
0003	0	Մեր	մերի	40	
0003	1	լեզուն	լեզու	14	y
0003	2	ներկայումս	ներկայումս	1380	
0003	3	գտնվում	գտնվել	377	y
0003	4	է	լինել	1	y
0003	5	գրականի	գրական	69	y
0003	6	և	և		
0003	7	առօրյա	առօրյա	157	y
0003	8	խոսակցականի	խոսակցական	21	y
0003	9	հակասությունների	հակասություն		
0003	10	բարդ	բարդ	906	y
0003	11	գործընթացում	գործընթացել		
0003	12	Իրողությունն	իրողություն	469	y
0003	13	այն	այն	22	y
0003	14	է	լինել	1	y
0003	15	որ	որ	2	y
0003	16	դրանց	դրանց	137	
0003	17	միջև	միջև	345	y
0003	18	այժմ	այժմ	306	y
0003	19	հսկայական	հսկայական		
0003	20	անջրպետ	անջրպետ		
0003	21	կա	կա	109	y
0004	0	Հարցազրույց	հարցազրույց		
0004	1	հարցաթերթիկների	հարցաթերթիկ		
0004	2	և	և		
0004	3	անկաշկանդ	անկաշկանդ	1146	y
0004	4	խոսքի	խոսք	30	y
0004	5	ձայնագրությունների	ձայնագրություն		
0004	6	միջոցով	միջոց	117	y
0004	7	ուսումնասիրվել	ուսումնասիրվել		
0004	8	և	և		
0004	9	գրանցվել	գրանցվել		
0004	10	են	լինել	1	y
0004	11	բանավոր	բանավոր	227	y
0004	12	խոսքում	խոսքել	241	
0004	13	հաճախակի	հաճախակի	414	y
0004	14	հանդիպող	հանդիպել		
0004	15	բազմաթիվ	բազմաթիվ	267	y
0004	16	շեղումներ	շեղում	1434	
0004	17	ու	ու	3	y
0004	18	խախտումներ	խախտում		
0004	19	որոնք	որոնք	57	y
0004	20	առկա	առկա	1257	
0004	21	են	լինել	1	y
0004	22	և	և		
0004	23	հնչյունական	հնչյունական	932	y
0004	24	և	և		
0004	25	բառագիտական	բառագիտական		
0004	26	և	և		
0004	27	քերականական	քերականական	432	y
0004	28	բոլոր	բոլոր	48	y
0004	29	մակարդակներում	մակարդակներել		
0005	0	Երևանի	երևան	39	y
0005	1	խոսակցական	խոսակցական	21	y
0005	2	լեզվի	լեզվ	13	
0005	3	ուսումնասիրության	ուսումնասիրություն	468	y
0005	4	մեջ	մեջ	23	y
0005	5	ամենից	ամեն	71	y
0005	6	առաջ	առաջ	79	y
0005	7	մեր	մերի	40	
0005	8	ուշադրությունն	ուշադրություն	842	y
0005	9	են	լինել	1	y
0005	10	գրավել	գրավել	1123	y
0005	11	հաճախակի	հաճախակի	414	y
0005	12	հանդիպող	հանդիպել		
0005	13	հնչյունական	հնչյունական	932	y
0005	14	այնպիսի	այնպիսի	349	y
0005	15	երևույթներ	երևույթ	147	y
0005	16	որոնք	որոնք	57	y
0005	17	շեղվում	շեղվել		
0005	18	են	լինել	1	y
0005	19	ուղղախոսական	ուղղախոսական		
0005	20	նորմից	նորմ	942	y
0006	0	Այսպես	այսպես	228	y
0006	1	խոսակիցների	խոսակից		
0006	2	անկաշկանդ	անկաշկանդ	1146	y
0006	3	շփման	շփման		
0006	4	ժամանակ	ժամանակ	95	y
0006	5	երբ	երբ	36	y
0006	6	խոսքը	խոսք	30	y
0006	7	չի	լինել	1	y
0006	8	վերահսկվում	վերահսկվել		
0006	9	ավելի	ավելի	47	y
0006	10	շատ	շատ	17	y
0006	11	են	լինել	1	y
0006	12	հնչյունական	հնչյունական	932	y
0006	13	սխալները	սխալներ		
0006	14	որոշ	որոշ	165	y
0006	15	հնչյուններ	հնչյուն	496	y
0006	16	փոխում	փոխել	918	y
0006	17	են	լինել	1	y
0006	18	իրենց	իրենց	86	y
0006	19	որակը	որակ		
0006	20	թուլանում	թուլանալ		
0006	21	են	լինել	1	y
0006	22	կամ	կամ	25	y
0006	23	բոլորովին	բոլորովին	1091	y
0006	24	սղվում	սղվել		
0006	25	նույնիսկ	նույնիսկ	401	y
0006	26	կարող	կարող	46	y
0006	27	են	լինել	1	y
0006	28	չհնչվել	չհնչվել		
0006	29	ամբողջական	ամբողջական		
0006	30	վանկեր	վանկեր		
0006	31	սակայն	սակայն	133	y
0006	32	այս	այս	12	y
0006	33	երևույթը	երևույթ	147	y
0006	34	չի	լինել	1	y
0006	35	խաթարում	խաթարել		
0006	36	բանավոր	բանավոր	227	y
0006	37	խոսքի	խոսք	30	y
0006	38	ընկալումը	ընկալում		
0006	39	քանի	քանի	45	y
0006	40	որ	որ	2	y
0006	41	անմիջական	անմիջական		
0006	42	հաղորդակցության	հաղորդակցություն		
0006	43	ժամանակ	ժամանակ	95	y
0006	44	խոսակիցներին	խոսակիցներ		
0006	45	արդեն	արդեն	149	y
0006	46	հայտնի	հայտնի	298	y
0006	47	է	լինել	1	y
0006	48	իրադրությունը	իրադրություն	865	y
0006	49	և	և		
0006	50	խոսակցության	խոսակցություն	1419	
0006	51	նյութը	նյութ	585	y
0006	52	հետևաբար	հետևաբար	740	y
0006	53	կիսատ	կիսատ		
0006	54	ու	ու	3	y
0006	55	անհստակ	անհստակ		
0006	56	ոչ	ոչ	19	y
0006	57	ամբողջությամբ	ամբողջություն	1436	
0006	58	արտասանված	արտասանվել	1124	
0006	59	բառը	բառ	72	y
0006	60	լիովին	լիովին	1249	
0006	61	հասկացվում	հասկացվել		
0006	62	է	լինել	1	y
0006	63	խոսողներն	խոսողներն		
0006	64	իրար	իրար	146	y
0006	65	հասկանում	հասկանալ	289	y
0006	66	են	լինել	1	y
0006	67	նաև	նաև	31	y
0006	68	շարժումներով	շարժում	1195	y
0006	69	դիմախաղով	դիմախաղ		
0006	70	ու	ու	3	y
0006	71	հնչերանգով	հնչերանգ	1277	
0007	0	Ձայնավորների	ձայնավոր	497	y
0007	1	սղումը	սղում		
0007	2	կամ	կամ	25	y
0007	3	անկումը	անկում	703	y
0007	4	հայերենում	հայերենել	1132	
0007	5	մեծ	մեծ	49	y
0007	6	մասամբ	մասամբ	852	y
0007	7	արդյունք	արդյունք	1111	y
0007	8	է	լինել	1	y
0007	9	կից	կից		
0007	10	վանկերի	վանկեր		
0007	11	նույնական	նույնական		
0007	12	ձայնավորների	ձայնավոր	497	y
0007	13	կամ	կամ	25	y
0007	14	նույնական	նույնական		
0007	15	վանկերից	վանկ		
0007	16	մեկի	մեկ	43	y
0007	17	ամփոփման	ամփոփման		
0007	18	որն	որն	245	
0007	19	էլ	էլ	18	y
0007	20	արտահայտվում	արտահայտվել	702	
0007	21	է	լինել	1	y
0007	22	դրանց	դրանց	137	
0007	23	անկումով	անկում	703	y
0007	24	Բերենք	բերել	122	y
0007	25	ձայնավորների	ձայնավոր	497	y
0007	26	անկման	անկման		
0007	27	մի_շարք	մի_շարք	492	
0007	28	օրինակներ	օրինակ	66	y
0007	29	որոնք	որոնք	57	y
0007	30	սակայն	սակայն	133	y
0007	31	նույն	նույն	159	y
0007	32	արժեքը	արժեք	582	y
0007	33	չունեն	ունենալ	6	y
0007	34	դրանց	դրանց	137	
0007	35	մի	մի	4	y
0007	36	մասը	մաս	208	y
0007	37	տարածված	տարածված	415	y
0007	38	երևույթ	երևույթ	147	y
0007	39	է	լինել	1	y
0007	40	իսկ	իսկ	29	y
0007	41	մյուսը	մյուս	96	y
0007	42	ոչ	ոչ	19	y
0007	43	թեև	թեև	446	y
0007	44	հատուկ	հատուկ	265	y
0007	45	է	լինել	1	y
0007	46	խոսակցական	խոսակցական	21	y
0007	47	լեզվին	լեզվ	13	
0008	0	Կան	կան	136	y
0008	1	մեծ	մեծ	49	y
0008	2	հաճախականություն	հաճախականություն	943	y
0008	3	ունեցող	ունենալ	6	y
0008	4	բառեր	բառեր	33	
0008	5	որոնց	որոնց	169	y
0008	6	մեջ	մեջ	23	y
0008	7	տեղի	տեղի	427	y
0008	8	է	լինել	1	y
0008	9	ունենում	ունենալ	6	y
0008	10	ու	ու	3	y
0008	11	ձայնավորի	ձայնավոր	497	y
0008	12	լիակատար	լիակատար		
0008	13	սղում	սղել		
0008	14	անկում	անկում	703	y
0008	15	օրինակ	օրինակ	66	y
0008	16	ցտեսություն	ցտեսություն		y
0008	17	ը	ը		
0008	18	մեծ	մեծ	49	y
0008	19	մասամբ	մասամբ	852	y
0008	20	հնչվում	հնչվել		
0008	21	է	լինել	1	y
0008	22	ցըտեսցյուն	ցըտեսցյուն		
0008	23	ստեսցյուն	ստեսցյուն		
0008	24	շնորհակալությունը	շնորհակալություն	677	y
0008	25	շնորակալցյուն	շնորակալցյուն		
0008	26	գործունեությունը	գործունեություն	861	y
0008	27	գործնեություն	գործնեություն		
0008	28	այդպես	այդպես	283	y
0008	29	նաև	նաև	31	y
0008	30	ուսցիչ	ուսցիչ		
0008	31	ուսչական	ուսչական		
0008	32	խօսակցյուն	խօսակցյուն		
0008	33	և	և		
0008	34	այլն	այլ	9	y
0008	35	Ինչպես	ինչպես	11	y
0008	36	նկատեցինք	նկատեցինք		
0008	37	երբեմն	երբեմն	114	y
0008	38	խոսքի	խոսք	30	y
0008	39	արագ	արագ	460	y
0008	40	տեմպում	տեմպել		
0008	41	հանդիպում	հանդիպում	544	y
0008	42	են	լինել	1	y
0008	43	այնպիսի	այնպիսի	349	y
0008	44	սղումներ	սղում		
0008	45	երբ	երբ	36	y
0008	46	ձայնավորի	ձայնավոր	497	y
0008	47	հետ	հետ	41	y
0008	48	միասին	միասին	503	y
0008	49	սղվում	սղվել		
0008	50	են	լինել	1	y
0008	51	նաև	նաև	31	y
0008	52	այլ	այլ	9	y
0008	53	հնչյուններ	հնչյուն	496	y
0009	0	Առօրյա	առօրյա	157	y
0009	1	խոսքում	խոսքել	241	
0009	2	ու	ու	3	y
0009	3	ձայնավորը	ձայնավոր	497	y
0009	4	երբեմն	երբեմն	114	y
0009	5	հնչյունափոխվում	հնչյունափոխվել		
0009	6	է	լինել	1	y
0009	7	ա	ա		
