ունեմ	I have	sakayan unit1 paradigm verb:ունենալ tense:present_(irregular)
ունես	you have (sg/informal)	sakayan unit1 paradigm verb:ունենալ tense:present_(irregular)
ունի	he/she has	sakayan unit1 paradigm verb:ունենալ tense:present_(irregular)
ունենք	we have	sakayan unit1 paradigm verb:ունենալ tense:present_(irregular)
ունեք	you have (pl/formal)	sakayan unit1 paradigm verb:ունենալ tense:present_(irregular)
ունեն	they have	sakayan unit1 paradigm verb:ունենալ tense:present_(irregular)
ունենում եմ	I have (continuative)	sakayan unit1 paradigm verb:ունենալ tense:present_(regular_continuative)
ունենում ես	you have (sg, continuative)	sakayan unit1 paradigm verb:ունենալ tense:present_(regular_continuative)
ունենում է	he/she has (continuative)	sakayan unit1 paradigm verb:ունենալ tense:present_(regular_continuative)
ունենում ենք	we have (continuative)	sakayan unit1 paradigm verb:ունենալ tense:present_(regular_continuative)
ունենում եք	you have (pl, continuative)	sakayan unit1 paradigm verb:ունենալ tense:present_(regular_continuative)
ունենում են	they have (continuative)	sakayan unit1 paradigm verb:ունենալ tense:present_(regular_continuative)
եմ	I am	sakayan unit1 paradigm verb:լինել tense:present_(irregular_auxiliary)
ես	you are (sg/informal)	sakayan unit1 paradigm verb:լինել tense:present_(irregular_auxiliary)
է	he/she is	sakayan unit1 paradigm verb:լինել tense:present_(irregular_auxiliary)
ենք	we are	sakayan unit1 paradigm verb:լինել tense:present_(irregular_auxiliary)
եք	you are (pl/formal)	sakayan unit1 paradigm verb:լինել tense:present_(irregular_auxiliary)
են	they are	sakayan unit1 paradigm verb:լինել tense:present_(irregular_auxiliary)
չեմ	I am not	sakayan unit2 paradigm verb:լինել tense:present_negative
չես	you are not (sg)	sakayan unit2 paradigm verb:լինել tense:present_negative
չի	he/she is not	sakayan unit2 paradigm verb:լինել tense:present_negative
չենք	we are not	sakayan unit2 paradigm verb:լինել tense:present_negative
չեք	you are not (pl)	sakayan unit2 paradigm verb:լինել tense:present_negative
չեն	they are not	sakayan unit2 paradigm verb:լինել tense:present_negative
չունեմ	I don't have	sakayan unit2 paradigm verb:ունենալ tense:present_negative_(irregular)
չունես	you don't have (sg)	sakayan unit2 paradigm verb:ունենալ tense:present_negative_(irregular)
չունի	he/she doesn't have	sakayan unit2 paradigm verb:ունենալ tense:present_negative_(irregular)
չունենք	we don't have	sakayan unit2 paradigm verb:ունենալ tense:present_negative_(irregular)
չունեք	you don't have (pl)	sakayan unit2 paradigm verb:ունենալ tense:present_negative_(irregular)
չունեն	they don't have	sakayan unit2 paradigm verb:ունենալ tense:present_negative_(irregular)
չգիտեմ	I don't know	sakayan unit2 paradigm verb:գիտենալ tense:present_negative_(irregular)
չգիտես	you don't know (sg)	sakayan unit2 paradigm verb:գիտենալ tense:present_negative_(irregular)
չգիտի	he/she doesn't know	sakayan unit2 paradigm verb:գիտենալ tense:present_negative_(irregular)
չգիտենք	we don't know	sakayan unit2 paradigm verb:գիտենալ tense:present_negative_(irregular)
չգիտեք	you don't know (pl)	sakayan unit2 paradigm verb:գիտենալ tense:present_negative_(irregular)
չգիտեն	they don't know	sakayan unit2 paradigm verb:գիտենալ tense:present_negative_(irregular)
էի	I was	sakayan unit3 paradigm verb:լինել tense:imperfect
էիր	you were (sg)	sakayan unit3 paradigm verb:լինել tense:imperfect
էր	he/she was	sakayan unit3 paradigm verb:լինել tense:imperfect
էինք	we were	sakayan unit3 paradigm verb:լինել tense:imperfect
էիք	you were (pl)	sakayan unit3 paradigm verb:լինել tense:imperfect
էին	they were	sakayan unit3 paradigm verb:լինել tense:imperfect
ունեի	I had	sakayan unit3 paradigm verb:ունենալ tense:imperfect_(irregular)
ունեիր	you had (sg)	sakayan unit3 paradigm verb:ունենալ tense:imperfect_(irregular)
ուներ	he/she had	sakayan unit3 paradigm verb:ունենալ tense:imperfect_(irregular)
ունեինք	we had	sakayan unit3 paradigm verb:ունենալ tense:imperfect_(irregular)
ունեիք	you had (pl)	sakayan unit3 paradigm verb:ունենալ tense:imperfect_(irregular)
ունեին	they had	sakayan unit3 paradigm verb:ունենալ tense:imperfect_(irregular)
գիտեի	I knew	sakayan unit3 paradigm verb:գիտենալ tense:imperfect_(irregular)
գիտեիր	you knew (sg)	sakayan unit3 paradigm verb:գիտենալ tense:imperfect_(irregular)
գիտեր	he/she knew	sakayan unit3 paradigm verb:գիտենալ tense:imperfect_(irregular)
գիտեինք	we knew	sakayan unit3 paradigm verb:գիտենալ tense:imperfect_(irregular)
գիտեիք	you knew (pl)	sakayan unit3 paradigm verb:գիտենալ tense:imperfect_(irregular)
գիտեին	they knew	sakayan unit3 paradigm verb:գիտենալ tense:imperfect_(irregular)
գրեցի	I wrote	sakayan unit4 paradigm verb:գրել tense:aorist_(simple_past)
գրեցիր	you wrote (sg)	sakayan unit4 paradigm verb:գրել tense:aorist_(simple_past)
գրեց	he/she wrote	sakayan unit4 paradigm verb:գրել tense:aorist_(simple_past)
գրեցինք	we wrote	sakayan unit4 paradigm verb:գրել tense:aorist_(simple_past)
գրեցիք	you wrote (pl)	sakayan unit4 paradigm verb:գրել tense:aorist_(simple_past)
գրեցին	they wrote	sakayan unit4 paradigm verb:գրել tense:aorist_(simple_past)
կարդացի	I read (past)	sakayan unit4 paradigm verb:կարդալ tense:aorist_(simple_past)
կարդացիր	you read (sg, past)	sakayan unit4 paradigm verb:կարդալ tense:aorist_(simple_past)
կարդաց	he/she read (past)	sakayan unit4 paradigm verb:կարդալ tense:aorist_(simple_past)
կարդացինք	we read (past)	sakayan unit4 paradigm verb:կարդալ tense:aorist_(simple_past)
կարդացիք	you read (pl, past)	sakayan unit4 paradigm verb:կարդալ tense:aorist_(simple_past)
կարդացին	they read (past)	sakayan unit4 paradigm verb:կարդալ tense:aorist_(simple_past)
գրել եմ	I have written	sakayan unit5 paradigm verb:գրել tense:perfect
գրել ես	you have written (sg)	sakayan unit5 paradigm verb:գրել tense:perfect
գրել է	he/she has written	sakayan unit5 paradigm verb:գրել tense:perfect
գրել ենք	we have written	sakayan unit5 paradigm verb:գրել tense:perfect
գրել եք	you have written (pl)	sakayan unit5 paradigm verb:գրել tense:perfect
գրել են	they have written	sakayan unit5 paradigm verb:գրել tense:perfect
կարդացել եմ	I have read	sakayan unit5 paradigm verb:կարդալ tense:perfect
կարդացել ես	you have read (sg)	sakayan unit5 paradigm verb:կարդալ tense:perfect
կարդացել է	he/she has read	sakayan unit5 paradigm verb:կարդալ tense:perfect
կարդացել ենք	we have read	sakayan unit5 paradigm verb:կարդալ tense:perfect
կարդացել եք	you have read (pl)	sakayan unit5 paradigm verb:կարդալ tense:perfect
կարդացել են	they have read	sakayan unit5 paradigm verb:կարդալ tense:perfect
գրել էի	I had written	sakayan unit5 paradigm verb:գրել tense:pluperfect
