rank	word	en	ru	ex1	ex2
1	լինել	to be	быть	Վաղը տանը կլինե՞ս — Завтра будешь дома?	Ամեն ինչ լավ կլինի — Всё будет хорошо
2	որ	that, which, who	что, который	Գիտեմ, որ գալու ես — Знаю, что ты придёшь	այն գիրքը, որ կարդացի — та книга, которую я прочитал
3	ու	and	и	հաց ու պանիր — хлеб и сыр	Ես ու դու — Я и ты
4	մի	one, a; don't!	один, а; не (запрет)	Մի րոպե սպասիր — Подожди одну минуту	Մի գնա — Не ходи
5	կարդալ	to read	читать	Սիրում եմ գիրք կարդալ — Люблю читать книги	Կարդա այս նամակը — Прочитай это письмо
6	ունենալ	to have	иметь	Երկու երեխա ունեմ — У меня двое детей	Ժամանակ չունեմ — У меня нет времени
7	ինչ	what	что	Ի՞նչ ես ուզում — Что ты хочешь?	Ի՜նչ գեղեցիկ օր է — Какой красивый день!
8	գրել	to write	писать	Նամակ եմ գրում — Я пишу письмо	Գրիր քո անունը — Напиши своё имя
9	այլ	other	другой	այլ խոսքով — другими словами	Այլ ելք չկա — Другого выхода нет
10	նա	he, she	он, она	Նա տանն է — Он дома	Նա իմ ընկերն է — Он мой друг
11	ինչպես	how, as	как	Ինչպե՞ս ես — Как ты?	ինչպես միշտ — как всегда
12	այս	this	этот	այս տարի — в этом году	Այս գիրքը իմն է — Эта книга моя
13	լեզու	language	язык	մայրենի լեզու — родной язык	Քանի՞ լեզու գիտես — Сколько языков ты знаешь?
14	գալ	to come	приходить	Նա ուշ եկավ — Он пришёл поздно	Արի այստեղ — Иди сюда
15	չէ	no, isn't (it?)	нет, не так ли	Լավ է, չէ՞ — Хорошо, не так ли?	Սա իմ գիրքը չէ — Это не моя книга
16	շատ	very, much, many	очень, много	Շատ լավ — Очень хорошо	Շատ մարդ կար — Было много людей
17	էլ	too, also	тоже, также	Ես էլ եմ գալիս — Я тоже иду	Դու էլ արի — Ты тоже приходи
18	ոչ	no, not	нет, не	Ոչ, չեմ ուզում — Нет, не хочу	ոչ մի անգամ — ни разу
19	իր	his/her own (reflexive); thing, item	его/её (свой); вещь	Նա իր գիրքը վերցրեց — Он взял свою книгу	Իրերդ հավաքիր — Собери свои вещи
20	խոսակցական	colloquial	разговорный	խոսակցական լեզու — разговорный язык	խոսակցական ոճ — разговорный стиль
21	այն	that	тот	այն ժամանակ — в то время	Այն տունը մեծ է — Тот дом большой
22	մեջ	in, inside (տան մեջ — in the house); among	в, внутри; среди	տան մեջ — в доме	մեր մեջ ասած — между нами говоря
23	տալ	to give	давать	Գիրքը տուր ինձ — Дай мне книгу	Հարց տվեց — Он задал вопрос
24	կամ	or	или	թեյ կամ սուրճ — чай или кофе	այսօր կամ վաղը — сегодня или завтра
25	թե	that; whether; or	что; ли; или	Չգիտեմ, թե ով է — Не знаю, кто это	Ասաց, թե կգա — Сказал, что придёт
26	այդ	that	этот, тот	այդ օրը — в тот день	Այդ գիրքը կարդացել եմ — Ту книгу я читал
27	հայերեն	Armenian	армянский	Հայերեն խոսո՞ւմ ես — Ты говоришь по-армянски?	հայերեն գիրք — книга на армянском
28	իսկ	but, and (contrast)	а, же	Ես լավ եմ, իսկ դու՞ — Я хорошо, а ты?	Դու գնա, իսկ ես կմնամ — Ты иди, а я останусь
29	խոսք	word; speech, talk	слово, речь	Խոսք եմ տալիս — Даю слово	Նրա խոսքերը հիշում եմ — Я помню его слова
30	նաև	also	также	Նա նաև ռուսերեն գիտի — Он знает также русский	Հաց գնիր, նաև պանիր — Купи хлеб, а также сыр
31	համար	for (ինձ համար — for me); number	для (послелог); номер	Սա քեզ համար է — Это для тебя	Հեռախոսիդ համարը տուր — Дай номер твоего телефона
32	պետք	needed, required	нужный, необходимый	Ինձ ժամանակ է պետք — Мне нужно время	Պետք է գնամ — Мне нужно идти
33	դու	you (sg)	ты	Դու որտեղի՞ց ես — Ты откуда?	Դու իմ ընկերն ես — Ты мой друг
