<b>լինել</b>	быть	frequency ru-minimal
<b>որ</b>	который	frequency ru-minimal
<b>ու</b>	и	frequency ru-minimal
<b>մի</b>	один	frequency ru-minimal
<b>կարդալ</b> <span style='color:#888;font-size:0.8em'>[կարթալ]</span>	читать	frequency ru-minimal
<b>ունենալ</b>	иметь	frequency ru-minimal
<b>ինչ</b>	что	frequency ru-minimal
<b>գրել</b>	писать	frequency ru-minimal
<b>այլ</b>	другой	frequency ru-minimal
<b>նա</b>	он, она	frequency ru-minimal
<b>ինչպես</b>	как	frequency ru-minimal
<b>այս</b>	этот	frequency ru-minimal
<b>լեզու</b>	язык	frequency ru-minimal
<b>գալ</b>	приходить	frequency ru-minimal
<b>չէ</b>	нет	frequency ru-minimal
<b>շատ</b>	очень, много	frequency ru-minimal
<b>էլ</b>	тоже	frequency ru-minimal
<b>ոչ</b>	нет, не	frequency ru-minimal
<b>իր</b>	свой	frequency ru-minimal
<b>խոսակցական</b>	разговорный	frequency ru-minimal
<b>այն</b>	тот	frequency ru-minimal
<b>մեջ</b> <span style='color:#888;font-size:0.8em'>[մեչ]</span>	внутри	frequency ru-minimal
<b>տալ</b>	давать	frequency ru-minimal
<b>կամ</b>	или	frequency ru-minimal
<b>թե</b>	ли	frequency ru-minimal
<b>այդ</b> <span style='color:#888;font-size:0.8em'>[այտ]</span>	тот	frequency ru-minimal
<b>հայերեն</b>	армянский	frequency ru-minimal
<b>իսկ</b>	а	frequency ru-minimal
<b>խոսք</b>	слово, речь	frequency ru-minimal
<b>նաև</b>	также	frequency ru-minimal
<b>համար</b>	для	frequency ru-minimal
<b>պետք</b>	нужный	frequency ru-minimal
<b>դու</b>	ты	frequency ru-minimal
<b>երբ</b> <span style='color:#888;font-size:0.8em'>[երփ]</span>	когда	frequency ru-minimal
<b>նրա</b>	его, её	frequency ru-minimal
<b>բայց</b>	но	frequency ru-minimal
<b>երևան</b>	Ереван	frequency ru-minimal
<b>հետ</b>	с	frequency ru-minimal
<b>ասել</b>	сказать	frequency ru-minimal
<b>մեկ</b>	1	frequency ru-minimal
<b>անել</b>	делать	frequency ru-minimal
<b>քանի</b>	сколько	frequency ru-minimal
<b>կարող</b>	способный	frequency ru-minimal
<b>ավելի</b>	больше	frequency ru-minimal
