block_id	surface	kind	lemma_heur	kaikki_en	terms_en	terms_ru	ru_layer
0002	ՀԱՏԿԱՆԻՇՆԵՐԸ	word	հատկանիշներ				
0003	ներկայումս	word	ներկայումս	adv: now, at present			
0003	հակասությունների	word	հակասություն				
0003	գործընթացում	word	գործընթացել				
0003	հսկայական	word	հսկայական	adj: gigantic (of or related to giants) | adj: enormous, huge			
0003	անջրպետ	word	անջրպետ	noun: bar, barrier, obstacle; partition			
0004	Հարցազրույց	word	հարցազրույց	noun: interview			
0004	հարցաթերթիկների	word	հարցաթերթիկ				
0004	ձայնագրությունների	word	ձայնագրություն				
0004	ուսումնասիրվել	word	ուսումնասիրվել				
0004	գրանցվել	word	գրանցվել	verb: mediopassive of գրանցել (grancʻel)			
0004	շեղումներ	word	շեղում				
0004	խախտումներ	word	խախտում				
0004	առկա	word	առկա	adj: present			
0004	բառագիտական	word	բառագիտական				
0004	մակարդակներում	word	մակարդակներել				
0005	ուղղախոսական	word	ուղղախոսական	adj: orthoepic			
0005	հնչյունափոխություններ	word	հնչյունափոխություն				
0006	խոսակիցների	word	խոսակից				
0006	շփման	word	շփման	noun: rubbing | noun: friction | noun: contact, communication, mixing (with)			
0006	վերահսկվում	word	վերահսկվել				
0006	թուլանում	word	թուլանալ	verb: to weaken, to grow weak (to lose strength) | verb: to slacken, to slow down | verb: to wane, to fade			
0006	սղվում	word	սղվել				
0006	վանկեր	word	վանկեր				
0006	խաթարում	word	խաթարել				
0006	ընկալումը	word	ընկալում				
0006	հաղորդակցության	word	հաղորդակցություն	noun: communication			
0006	կիսատ	word	կիսատ	adj: half done, incomplete, unfinished			
0006	անհստակ	word	անհստակ				
0006	լիովին	word	լիովին	adv: fully, entirely, completely, perfectly			
0006	դիմախաղով	word	դիմախաղ	noun: facial expression			
0006	հնչերանգով	word	հնչերանգ				
0007	սղումը	word	սղում				
0007	մեծ մասամբ	mwe	մեծ	adj: big, large | adj: spacious, voluminous, sizable | adj: lofty, towering, colossal			большой
0007	կից	word	կից	adj: together, united, conjoined | adj: close, near | adj: enclosed, attached			
0007	նույնական	word	նույնական				
0007	ամփոփման	word	ամփոփման	noun: summary (condensed presentation of the substance of a body of material)			
0007	արտահայտվում	word	արտահայտվել				
0008	լիակատար	word	լիակատար	adj: complete, total, perfect			
0008	տեմպում	word	տեմպել				
0009	փոխ.	abbr	փոխ.				
0010	վերածվել	word	վերածվել				
0012	արտաբերվում	word	արտաբերվել				
0014	համաբանությամբ	word	համաբանություն				
0017	վերջավորություն	word	վերջավորություն	noun: ending, end | noun: rhyme | noun: ending (of a word)	ending	окончание	
0017	գոյականները	word	գոյականներ				
