block_id	surface	kind	lemma	ru	en	source	conf
0002	ՀՆՉՅՈՒՆԱԿԱՆ	word	հնչյունական	фонетический	phonetic	kaikki	hi
0002	ՀԱՏԿԱՆԻՇՆԵՐԸ	word	հատկանիշ	признак	feature	kaikki	hi
0003	ներկայումս	word	ներկայումս	в настоящее время	at present	kaikki	hi
0003	գրականի	word	գրական	литературный	literary	kaikki	hi
0003	առօրյա	word	առօրյա	повседневный	everyday	prior	hi
0003	հակասությունների	word	հակասություն	противоречие	contradiction	prior	hi
0003	գործընթացում	word	գործընթաց	процесс	process	kaikki	hi
0003	Իրողությունն	word	իրողություն	реальность, факт	reality	kaikki	hi
0003	հսկայական	word	հսկայական	огромный	huge	kaikki	hi
0003	անջրպետ	word	անջրպետ	пропасть, разрыв	barrier, gap	kaikki	hi
0004	Հարցազրույց	word	հարցազրույց	интервью	interview	kaikki	hi
0004	հարցաթերթիկների	word	հարցաթերթիկ	анкета	questionnaire	prior	hi
0004	անկաշկանդ	word	անկաշկանդ	непринуждённый	unconstrained	prior	hi
0004	ձայնագրությունների	word	ձայնագրություն	звукозапись	(sound) recording	prior	hi
0004	ուսումնասիրվել	word	ուսումնասիրվել	изучаться	to be studied	prior	hi
0004	գրանցվել	word	գրանցվել	фиксироваться	to be recorded	kaikki	hi
0004	բանավոր	word	բանավոր	устный	oral	kaikki	hi
0004	հաճախակի	word	հաճախակի	частый	frequent	kaikki	hi
0004	շեղումներ	word	շեղում	отклонение	deviation	prior	hi
0004	խախտումներ	word	խախտում	нарушение	violation	prior	hi
0004	առկա	word	առկա	имеющийся	present, existing	kaikki	hi
0004	բառագիտական	word	բառագիտական	лексический	lexical	prior	hi
0004	քերականական	word	քերականական	грамматический	grammatical	kaikki	hi
0004	մակարդակներում	word	մակարդակ	уровень	level	kaikki	hi
0005	ուշադրությունն	word	ուշադրություն	внимание	attention	kaikki	hi
0005	գրավել	word	գրավել	привлекать	to attract	prior	hi
0005	երևույթներ	word	երևույթ	явление	phenomenon	kaikki	hi
0005	ուղղախոսական	word	ուղղախոսական	орфоэпический	orthoepic	kaikki	hi
0005	ավելորդ	word	ավելորդ	лишний	superfluous	kaikki	hi
