# Russian-gloss augmentation layer for cards/top_1000.tsv.
#
# TRANSLATION layer (prior, NOT corpus-cited): each row maps a bare /
# underscored lemma to a Russian gloss that translates the deck's
# English gloss. build_deck.py appends ` / <ru>` to a card ONLY when
# its English gloss has no Cyrillic yet (so hand-overrides that already
# carry Russian are never touched).
#
# Format:  lemma <TAB> russian_gloss
# `#` lines are comments. Keep glosses terse and sense-aligned with the
# English; preserve sense order. MWUs use `_` (e.g. ոչ_ոք).
#
# Populated 2026-06-03 from the top-300 English-only cards (user card
# review). Coverage tracked by check_missing_russian in validate_deck.py.
լինել	быть
կարդալ	читать
ունենալ	иметь
գրել	писать
այլ	другой
լեզու	язык
գալ	приходить
էլ	тоже, также
խոսակցական	разговорный
տալ	давать
թե	что; ли; или
խոսք	слово, речь
պետք	нужный, необходимый
երևան	Ереван
ասել	сказать, говорить
մեկ	один
անել	делать
քանի	сколько?
ավելի	больше, более
մեծ	большой
խոսել	говорить
լավ	хороший
որոնք	которые, какие
վրա	на, поверх
մարդ	человек
երկու	два
ուտել	есть, кушать
գրական	литературный
նոր	новый
բառ	слово
տեսնել	видеть
բան	вещь
եթե	если
օր	день
հայր	отец
հաճախ	часто
տարբեր	различный, разный
իրենց	их
հայոց	армянский
վազել	бежать
հայ	армянин, армянский
ժամ	час
կողմ	сторона, направление
մյուս	другой
ուզել	хотеть, желать
քաղաք	город
գիտենալ	знать
ըստ	согласно, по
այսօր	сегодня
մայր	мать
առաջին	первый
անուն	имя
տեղ	место, местоположение
նստել	садиться
ընկնել	падать
երբեմն	иногда
նման	похожий, подобный
միջոց	средство, способ
ում	кого, кому
սխալ	неправильный, ошибочный
բերել	приносить
ձեռք	рука
հետո	после, потом
ալ	тоже, также
իմաստ	смысл, значение
ուր	где, куда
թագավոր	король
նախադասություն	предложение
դառնալ	становиться, превращаться
սակայն	однако
գիրք	книга
բառապաշար	словарный запас, лексика
կան	есть, имеются
գնալ	идти, ходить
դրանք	те
ժամանակակից	современный
լեզվական	языковой, лингвистический
փոքր	маленький
իրար	друг друга
երևույթ	явление
հասարակական	общественный; публичный; общий
արդեն	уже
կրթություն	образование
գլուխ	голова
տվյալ	данный, этот
դպրոց	школа
նույն	тот же, одинаковый
վեր	вверх; выше
որևէ	какой-либо, любой
հայկական	армянский
միշտ	всегда
բնորոշ	характерный, типичный
քույր	сестра
որոնց	которых
բժիշկ	врач, доктор
լսել	слышать, слушать; слушаться
ճիշտ	правильный, верный
նամակ	письмо
օտար	чужой, иностранный
արև	солнце
աշխարհ	мир, вселенная
երեք	три
տանել	нести, везти, относить
երեխա	ребёнок
դնել	класть, ставить
անվանի	знаменитый, известный
խաղալ	играть
կարելի	можно, возможно
սովորել	учиться, учить
աչք	глаз
էջ	страница
փոխարեն	вместо
գեղեցիկ	красивый
ապրել	жить
ան	он, она
մաս	часть, кусок; кусочек
կարևոր	важный
կին	женщина
առանց	без
դեռ	ещё, пока
դեմք	лицо
պես	как, подобно
ռուսերեն	русский (язык)
լալ	плакать, рыдать
տիկին	госпожа, мадам
աղջիկ	девочка, девушка
երկար	длинный, долгий
արտահայտություն	выражение
բանավոր	устный
հարյուր	сто
համալսարան	университет
նշել	отмечать, помечать
աշակերտ	ученик
երիտասարդ	молодой (человек)
վատ	плохой
դեմ	против; напротив
հին	старый
մնալ	оставаться
ամբողջ	весь, целый
դուռ	дверь
յուրաքանչյուր	каждый
հատկապես	особенно
հարցնել	спрашивать
այսինքն	то есть, а именно
տակ	под; низ
ընդհանուր	общий, всеобщий
թվական	дата, год
հագուստ	одежда
այնքան	так, настолько
չորս	четыре
ուսանող	студент
խմել	пить
լույս	свет
հատուկ	особый, специальный
հավանել	нравиться, одобрять
բազմաթիվ	многочисленный, многие
պետական	государственный; национальный; общественный
հիմնական	основной, фундаментальный
ձև	форма; вид; образец
կես	половина
չափ	мера, размер
հինգ	пять
եղբայր	брат
վերջին	последний
եղանակ	погода
այսպիսի	такой, подобный
աշխատանք	работа, труд
նպատակ	цель
բարբառ	диалект
մասնագիտական	профессиональный
հասկանալ	понимать
դժվար	трудный, тяжёлый
հոգնել	уставать
հիվանդ	больной
դեր	роль
նկատմամբ	по отношению к, относительно
երկիր	страна
հայտնի	известный
սիրտ	сердце
շուն	собака
այնպես	так, таким образом
այժմ	сейчас, в настоящее время
առանձին	отдельный, особый
դեպի	к, в направлении
բարի	добрый
նորից	снова, опять
գտնել	находить
լայն	широкий
ներս	внутрь, внутри
հաց	хлеб
անց	проход, переход
բաց	открытый
հարց	вопрос
ժողովուրդ	народ
