այսպիսով	thus, so / таким образом, итак	ghamoyan colloquial filler standard
ուրեմն	so, then, therefore / значит, итак	ghamoyan colloquial filler standard
ի դեպ	by the way / кстати	ghamoyan colloquial filler standard
ի միջի այլոց	by the way (formal) / между прочим	ghamoyan colloquial filler standard
համենայն դեպս	in any case / в любом случае, во всяком случае	ghamoyan colloquial filler standard
ըստ էության	essentially, in essence / по сути, по существу	ghamoyan colloquial filler standard
իրականում	actually, in reality / на самом деле	ghamoyan colloquial filler standard
ուղղակի	just, simply / просто, прямо	ghamoyan colloquial filler standard
պարզապես	simply, just / просто	ghamoyan colloquial filler standard
իսկապես	really, indeed / действительно, правда	ghamoyan colloquial filler standard
իհարկե	of course / конечно, разумеется	ghamoyan colloquial filler standard
կարծես թե	as if, it seems / как будто, кажется	ghamoyan colloquial filler standard
մի խոսքով	in a word, in short / одним словом, короче	ghamoyan colloquial filler standard
կարճ ասած	in short, briefly / короче говоря, вкратце	ghamoyan colloquial filler standard
այսպես ասած	so to say / так сказать	ghamoyan colloquial filler standard
կարծում եմ	I think / думаю, я считаю	ghamoyan colloquial filler standard
իմ կարծիքով	in my opinion / по-моему	ghamoyan colloquial filler standard
ասենք	let's say, suppose / скажем, допустим	ghamoyan colloquial filler standard
ենթադրենք	let's suppose / предположим, допустим	ghamoyan colloquial filler standard
մի տեսակ	kind of, sort of / вроде, что-то вроде	ghamoyan colloquial filler standard
ի վերջո	finally, after all / в конце концов, наконец	ghamoyan colloquial filler standard
եսիմ	dunno, who knows / не знаю, фиг знает	ghamoyan colloquial filler casual
օֆ եսիմ	ugh whatever / ой не знаю, да фиг	ghamoyan colloquial filler casual
տենց	like that / так, вот так	ghamoyan colloquial filler casual
տենց բաներ	stuff like that / всякое такое, и т.п.	ghamoyan colloquial filler casual
բա	well, what about / ну, а как же	ghamoyan colloquial filler casual
դե	well, come on / ну, давай	ghamoyan colloquial filler casual
բանը	the thing is / дело в том, штука в том	ghamoyan colloquial filler casual
պարզ ա	obviously, clearly / ясно, понятно	ghamoyan colloquial filler casual
լսի	listen, hey / слушай, эй	ghamoyan colloquial filler slang
խոսքի	by the way / кстати говоря	ghamoyan colloquial filler slang
քցենք	let's say / скажем так	ghamoyan colloquial filler slang
