ունեմ	I have	sakayan unit1 paradigm verb:ունենալ tense:present_(irregular)
ունես	you have (sg/informal)	sakayan unit1 paradigm verb:ունենալ tense:present_(irregular)
ունի	he/she has	sakayan unit1 paradigm verb:ունենալ tense:present_(irregular)
ունենք	we have	sakayan unit1 paradigm verb:ունենալ tense:present_(irregular)
ունեք	you have (pl/formal)	sakayan unit1 paradigm verb:ունենալ tense:present_(irregular)
ունեն	they have	sakayan unit1 paradigm verb:ունենալ tense:present_(irregular)
ունենում եմ	I have (continuative)	sakayan unit1 paradigm verb:ունենալ tense:present_(regular_continuative)
ունենում ես	you have (sg, continuative)	sakayan unit1 paradigm verb:ունենալ tense:present_(regular_continuative)
ունենում է	he/she has (continuative)	sakayan unit1 paradigm verb:ունենալ tense:present_(regular_continuative)
ունենում ենք	we have (continuative)	sakayan unit1 paradigm verb:ունենալ tense:present_(regular_continuative)
ունենում եք	you have (pl, continuative)	sakayan unit1 paradigm verb:ունենալ tense:present_(regular_continuative)
ունենում են	they have (continuative)	sakayan unit1 paradigm verb:ունենալ tense:present_(regular_continuative)
եմ	I am	sakayan unit1 paradigm verb:լինել tense:present_(irregular_auxiliary)
ես	you are (sg/informal)	sakayan unit1 paradigm verb:լինել tense:present_(irregular_auxiliary)
է	he/she is	sakayan unit1 paradigm verb:լինել tense:present_(irregular_auxiliary)
ենք	we are	sakayan unit1 paradigm verb:լինել tense:present_(irregular_auxiliary)
եք	you are (pl/formal)	sakayan unit1 paradigm verb:լինել tense:present_(irregular_auxiliary)
են	they are	sakayan unit1 paradigm verb:լինել tense:present_(irregular_auxiliary)
